tanggal,reaktif,nonreaktif,total,positive_rate
27/03/2020,124,10839,10963,1.13%
28/03/2020,149,11858,12007,1.24%
29/03/2020,206,14808,15014,1.37%
30/03/2020,290,17619,17909,1.62%
31/03/2020,307,18242,18549,1.66%
01/04/2020,360,19190,19550,1.84%
02/04/2020,442,20460,20902,2.11%
03/04/2020,541,21962,22503,2.40%
04/04/2020,583,23072,23655,2.46%
05/04/2020,589,23426,24015,2.45%
06/04/2020,718,25234,25952,2.77%
07/04/2020,829,26867,27696,2.99%
08/04/2020,949,29853,30802,3.08%
09/04/2020,1027,34056,35083,2.93%
10/04/2020,1065,34704,35769,2.98%
11/04/2020,1148,35245,36393,3.15%
12/04/2020,1203,35760,36963,3.25%
13/04/2020,1314,37560,38874,3.38%
14/04/2020,1395,39317,40712,3.43%
15/04/2020,1603,43624,45227,3.54%
16/04/2020,1791,45797,47588,3.76%
17/04/2020,2129,53863,55992,3.80%
18/04/2020,2265,56352,58617,3.86%
19/04/2020,2313,56409,58722,3.94%
20/04/2020,2248,59852,62100,3.62%
21/04/2020,2365,61181,63546,3.72%
22/04/2020,2687,66669,69356,3.87%
23/04/2020,2842,67986,70828,4.01%
24/04/2020,2849,69121,71970,3.96%
25/04/2020,2879,69536,72415,3.98%
26/04/2020,2881,69737,72618,3.97%
27/04/2020,2954,71831,74785,3.95%
28/04/2020,2954,73993,76947,3.84%
29/04/2020,2962,74709,77671,3.81%
30/04/2020,3022,76130,79152,3.82%
01/05/2020,3044,76636,79680,3.82%
02/05/2020,3050,76864,79914,3.82%
03/05/2020,3056,77136,80192,3.81%
04/05/2020,3103,78265,81368,3.81%
05/05/2020,3117,79152,82269,3.79%
06/05/2020,3155,79497,82652,3.82%
07/05/2020,3176,80016,83192,3.82%
08/05/2020,3358,81466,84824,3.96%
09/05/2020,3480,83534,87014,4.00%
10/05/2020,3505,84447,87952,3.99%
11/05/2020,3646,89780,93426,3.90%
12/05/2020,3671,91630,95301,3.85%
13/05/2020,3703,93045,96748,3.83%
14/05/2020,3745,94083,97828,3.83%
15/05/2020,3804,95412,99216,3.83%
16/05/2020,3808,96007,99815,3.82%
17/05/2020,3842,96521,100363,3.83%
18/05/2020,3918,102289,106207,3.69%
19/05/2020,4153,105937,110090,3.77%
20/05/2020,4213,106929,111142,3.79%
21/05/2020,4329,108976,113305,3.82%
22/05/2020,4411,110529,114940,3.84%
23/05/2020,4421,110621,115042,3.84%
24/05/2020,4439,111423,115862,3.83%
25/05/2020,4494,112442,116936,3.84%
26/05/2020,5627,128227,133854,4.20%
27/05/2020,5665,131189,136854,4.14%
28/05/2020,5665,133489,139154,4.07%
29/05/2020,5675,136007,141682,4.01%
